company_ticker,score_component,score,confidence,category,justification
MAPS,technology_moats,3.2857142857142856,0.6571428571428573,strategic_insights,Consensus from 3 models: llama-3.1-70b: MAPS Inc. has a strong technology platform with a wide range...
MAPS,competitive_positioning,2.487037037037037,0.8999999999999999,competitive,"Consensus from 2 models: llama-3.1-70b: Analysis of 3 competitors, average threat level: 4.0/5.0; mi..."
MAPS,major_risk_factors,2.273809523809524,0.85,strategic_insights,Consensus from 3 models: llama-3.1-70b: Based on 3 identified risk factors with average impact 3.7/5...
MAPS,moat_brand_monopoly,3.0000000000000004,0.6285714285714286,competitive_moat,"Consensus from 3 models: llama-3.1-70b: MAPS Inc. has a recognized brand in the technology sector, b..."
MAPS,red_flags,2.5,0.7999999999999999,strategic_insights,Consensus from 1 models: llama-3.1-70b: Based on 2 identified red flags with average impact 3.5/5.0
MAPS,transformation_potential,3.2857142857142856,0.6285714285714287,strategic_insights,Consensus from 3 models: llama-3.1-70b: MAPS Inc. has a strong track record of innovation and has de...
MAPS,market_timing,3.2857142857142856,0.592857142857143,strategic_insights,Consensus from 3 models: llama-3.1-70b: MAPS Inc. is well-positioned to benefit from the growing dem...
MAPS,management_quality,3.2857142857142856,0.692857142857143,strategic_insights,Consensus from 3 models: llama-3.1-70b: MAPS Inc.'s management team has a strong track record of exe...
MAPS,key_growth_drivers,3.642857142857143,0.85,strategic_insights,Consensus from 3 models: llama-3.1-70b: Based on 3 identified growth drivers with average impact 4.0...
MAPS,competitive_differentiation,3.2857142857142856,0.6571428571428573,strategic_insights,"Consensus from 3 models: llama-3.1-70b: MAPS Inc. has a strong brand and a unique value proposition,..."
MAPS,moat_barriers_to_entry,3.642857142857143,0.692857142857143,competitive_moat,"Consensus from 3 models: llama-3.1-70b: The technology sector has high barriers to entry, including ..."
MAPS,platform_expansion,3.2857142857142856,0.6642857142857144,strategic_insights,Consensus from 3 models: llama-3.1-70b: MAPS Inc. has a strong platform with a large customer base a...
MAPS,moat_network_effects,3.0000000000000004,0.5642857142857144,competitive_moat,"Consensus from 3 models: llama-3.1-70b: MAPS Inc.'s products and services have some network effects,..."
MAPS,moat_switching_costs,3.3571428571428577,0.6000000000000001,competitive_moat,"Consensus from 3 models: llama-3.1-70b: MAPS Inc.'s customers face moderate switching costs, driven ..."
MAPS,moat_economies_of_scale,3.642857142857143,0.7285714285714286,competitive_moat,"Consensus from 3 models: llama-3.1-70b: MAPS Inc. has significant economies of scale, driven by its ..."
MAPS,COMPOSITE_SCORE,2.4073129251700682,0.7007142857142857,composite,Weighted composite from 15 components
