company_ticker,score_component,score,confidence,category,justification
UBXG,moat_network_effects,3.0,0.55,competitive_moat,Consensus from 2 models: llama-3-70b: Extracted from narrative analysis - Network Effects; mixtral-8...
UBXG,competitive_differentiation,3.0,0.6,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: Some diff...
UBXG,management_quality,3.0,0.6,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: Competent...
UBXG,moat_economies_of_scale,3.5,0.6499999999999999,competitive_moat,Consensus from 2 models: llama-3-70b: Extracted from narrative analysis - Economies Of Scale; mixtra...
UBXG,key_growth_drivers,3.5,0.8499999999999999,strategic_insights,Consensus from 2 models: llama-3-70b: Based on 3 identified growth drivers; mixtral-8x7b: Based on 2...
UBXG,platform_expansion,3.0,0.6,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: Some expa...
UBXG,transformation_potential,3.0,0.55,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: Moderate ...
UBXG,moat_switching_costs,3.5,0.6,competitive_moat,Consensus from 2 models: llama-3-70b: Extracted from narrative analysis - Switching Costs; mixtral-8...
UBXG,market_timing,3.0,0.55,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: Reasonabl...
UBXG,moat_barriers_to_entry,3.5,0.6,competitive_moat,Consensus from 2 models: llama-3-70b: Extracted from narrative analysis - Barriers To Entry; mixtral...
UBXG,technology_moats,3.0,0.55,strategic_insights,Consensus from 2 models: llama-3-70b: Default score from narrative analysis; mixtral-8x7b: Some tech...
UBXG,moat_brand_monopoly,3.5,0.6499999999999999,competitive_moat,Consensus from 2 models: llama-3-70b: Extracted from narrative analysis - Brand Monopoly; mixtral-8x...
UBXG,major_risk_factors,2.5,0.8499999999999999,strategic_insights,Consensus from 2 models: llama-3-70b: Based on 3 identified risk factors; mixtral-8x7b: Based on 2 i...
UBXG,competitive_positioning,2.716666666666667,0.8999999999999999,competitive,"Consensus from 1 models: mixtral-8x7b: Analysis of 3 competitors, average threat level: 3.3/5.0"
UBXG,COMPOSITE_SCORE,2.511904761904762,0.6555555555555556,composite,Weighted composite from 14 components
